ID_fat_studio_det,id_fatt_studio,articolo,qta,prezzo,data_consegna
588,588,33,12000,5.3000,"10/15/18 00:00:00"
589,589,46,350,5.1000,"10/15/18 00:00:00"
590,590,45,1000,2.8500,"10/16/18 00:00:00"
591,591,38,53520,0.3450,"10/15/18 00:00:00"
592,592,21,6000,0.8700,"10/16/18 00:00:00"
593,593,38,26180,0.3450,"10/17/18 00:00:00"
594,594,8,24010,0.4500,"10/17/18 00:00:00"
595,595,21,6000,0.7700,"10/23/18 00:00:00"
596,596,150,2560,12.7000,"10/23/18 00:00:00"
597,597,38,51460,0.3450,"10/22/18 00:00:00"
598,598,38,26360,0.3450,"10/23/18 00:00:00"
599,599,46,500,5.1000,"10/25/18 00:00:00"
600,600,8,25044,0.4500,"10/24/18 00:00:00"
601,601,46,100,5.1000,"10/29/18 00:00:00"
602,602,21,6000,0.8700,"10/30/18 00:00:00"
603,603,38,28440,0.3450,"10/28/18 00:00:00"
604,604,38,56320,0.3450,"10/29/18 00:00:00"
605,605,46,200,5.1000,"11/05/18 00:00:00"
606,606,45,24000,2.5000,"11/06/18 00:00:00"
607,607,38,29720,0.3600,"11/05/18 00:00:00"
608,608,21,5670,0.8700,"11/06/18 00:00:00"
609,609,38,29520,0.3600,"11/06/18 00:00:00"
610,610,58,3000,7.5000,"11/07/18 00:00:00"
611,611,59,750,5.0000,"11/08/18 00:00:00"
612,612,46,300,5.1000,"11/12/18 00:00:00"
613,613,8,23810,0.4500,"11/08/18 00:00:00"
614,614,21,5800,0.8700,"11/13/18 00:00:00"
615,615,8,24270,0.4500,"11/12/18 00:00:00"
616,616,38,30000,0.3600,"11/12/18 00:00:00"
617,617,38,26060,0.3600,"11/13/18 00:00:00"
618,618,46,300,5.1000,"11/19/18 00:00:00"
619,619,8,25230,0.4500,"11/15/18 00:00:00"
620,620,38,28260,0.3600,"11/19/18 00:00:00"
621,621,38,25820,0.3600,"11/20/18 00:00:00"
622,622,21,3370,0.8700,"11/20/18 00:00:00"
623,623,45,3000,2.6000,"11/23/18 00:00:00"
624,624,46,700,5.1000,"11/26/18 00:00:00"
625,625,8,25633,0.4500,"11/22/18 00:00:00"
626,626,33,1000,6.5000,"11/27/18 00:00:00"
627,627,8,26130,0.4500,"11/26/18 00:00:00"
628,628,38,29680,0.3600,"11/26/18 00:00:00"
629,629,45,22000,2.5000,"11/30/18 00:00:00"
630,630,59,750,5.0000,"11/30/18 00:00:00"
631,631,46,200,5.1000,"12/03/18 00:00:00"
632,632,38,29600,0.3600,"11/29/18 00:00:00"
633,633,38,29780,0.3600,"12/03/18 00:00:00"
634,634,38,28740,0.3600,"12/04/18 00:00:00"
635,635,46,100,5.1000,"12/10/18 00:00:00"
636,636,150,1445,12.7000,"12/10/18 00:00:00"
637,637,8,25212,0.4500,"12/08/18 00:00:00"
638,638,38,29780,0.3600,"12/10/18 00:00:00"
639,639,38,29760,0.3600,"12/11/18 00:00:00"
640,640,8,25500,0.4500,"12/10/18 00:00:00"
641,641,59,750,5.2800,"12/14/18 00:00:00"
642,642,46,100,5.1000,"12/17/18 00:00:00"
643,643,193,25880,0.3600,"12/17/18 00:00:00"
644,644,193,29520,0.3600,"12/19/18 00:00:00"
645,645,8,25705,0.4500,"12/20/18 00:00:00"
646,646,70,1800,7.6800,"12/27/18 00:00:00"
647,647,193,26000,0.3600,"12/23/18 00:00:00"
648,648,8,25945,0.4500,"12/24/18 00:00:00"
649,649,193,29020,0.3600,"12/27/18 00:00:00"
