id_conferma,compratore,venditore,qta,prezzo_acq,articolo,n_conf,data_conf,prezzo_vend,luogo_consegna,condizioni_pag,note,carico,arrivo,emailv,emailc,condizioni_pag_venditore
631,1,284,75000,0.3500,193,"507","01/03/19 00:00:00",0.3600,"Haslacher Straße 12  -  79115 Freiburg",2,,1,0,0,0,
633,1,284,75000,0.3500,193,"509","01/17/19 00:00:00",0.3600,"Haslacher Straße 12  -  79115 Freiburg",1,,1,0,0,0,
634,1,284,75000,0.3500,193,"510","01/24/19 00:00:00",0.3600,"Haslacher Straße 12  -  79115 Freiburg",1,,1,0,0,0,
635,160,314,4000,2.7500,45,"511","01/28/19 00:00:00",2.9200,"ZENSON DI PIAVE, ITALIE",1,,0,1,0,0,
637,534,251,1000,2.9800,45,"513","01/30/19 00:00:00",3.1000,"Floßergasse,  2 - MUNICH - BAVIERA",15,,0,1,0,0,
636,586,314,750,3.2400,195,"512","01/29/19 00:00:00",3.8400,"WIESBADEN",1,"ORGANIC MILKPROTEINS 60%, SICAPRO 60% .",0,1,0,0,
379,66,250,6000,11.8700,150,"285","11/21/17 00:00:00",12.7000,"Lavezzola",1,"2,000 kg of organic turkey breast frozen, delivered on Plastic Pallet - delivery dates to be finally agreed",0,1,0,0,
1161,80,375,3500,13.5000,150,"971","03/17/21 00:00:00",14.2000,"SALUMIFICIO PEDRAZZOLI",1,"Organic Turkey Breast, frozen, 2kg V.C. in 15 kg carton box, delivered on Plastic Pallet
delivery dates must be finally agreed,
delivery address:  Via S. Giovanni, 16/A, 46020 San Giovanni del Dosso MN",0,1,0,0,1
245,93,250,1600,12.7000,150,"173","10/19/16 00:00:00",13.6000,"RIPALTA CREMASCA",1,"1600 KG FROZEN ORGANIC TURKEY BREAST",0,1,0,0,
478,564,325,5000,0.7200,21,"375","05/21/18 00:00:00",0.7700,"Via dell'Industria, 26 - Località Orfengo - 28060 CASALINO (No)",1,"Latte di capra fresco nazionale - il prezzo sopra riportato è da intendersi €/litro. Fatturazione in Litri. Prezzo comprensivo di trasporto 100 €.",0,1,0,0,
84,11,12,50000,0.5100,37,"48","09/11/15 00:00:00",0.5600,"Loc. Cà Verde - 37015 - S.Ambrogio di Valpolicella (VR)",3,"HUNGARIAN ORIGIN, ORGANIC RAW MILK - LATTE CRUDO BIO UNGHERESE",0,1,0,0,
7,37,198,2000,3.7000,45,"3","12/10/14 00:00:00",4.1500,"PADOVA",2,,0,1,0,0,
70,364,245,1300,7.6200,14,"40","07/16/15 00:00:00",8.1000,"TAVERNERIO, Italy",2,"13O  frozen Legs, as per details exchanged in the e.mails . Pagamento 30 gg Riba netto data fattura /",0,1,0,0,
53,39,26,2000,5.5200,33,"34","06/18/15 00:00:00",5.7500,"VARESE ITALY",1,,0,1,0,0,
51,80,236,1000,8.8000,139,"32","06/15/15 00:00:00",10.0000,"SAN GIOVANNI DEL DOSSO - MANTOVA",1,"WEIGHT RANGE --> 4-8 KG",0,1,0,0,
